name,age,health,behavior
Betty-1,100,special_health,special_behavior
Betty-2,5.9,excellent,positive
Betty-3,18.2,fair,stubborn
Betty-4,23.3,fair,stubborn
Betty-5,26.8,poor,negative
Betty-6,22.7,fair,stubborn
Betty-7,4.8,excellent,playful
Betty-8,24.8,fair,stubborn
Betty-9,28.2,poor,negative
Betty-10,4.9,excellent,playful
Betty-11,100,special_health,special_behavior
Betty-12,27.0,poor,negative
Betty-13,7.6,excellent,positive
Betty-14,2.6,excellent,playful
Betty-15,24.8,fair,stubborn
Betty-16,18.8,fair,stubborn
Betty-17,15.7,fair,stubborn
Betty-18,26.8,poor,negative
Betty-19,25.7,poor,negative
Betty-20,7.1,excellent,positive
Betty-21,100,special_health,special_behavior
Betty-22,15.2,fair,stubborn
Betty-23,12.7,good,calm
Betty-24,13.1,good,calm
Betty-25,4.8,excellent,playful
Betty-26,12.3,good,calm
Betty-27,6.4,excellent,positive
Betty-28,3.7,excellent,playful
Betty-29,18.0,fair,stubborn
Betty-30,4.6,excellent,playful
Betty-31,100,special_health,special_behavior
Betty-32,20.5,fair,stubborn
Betty-33,24.6,fair,stubborn
Betty-34,3.0,excellent,playful
Betty-35,21.6,fair,stubborn
Betty-36,1.8,excellent,playful
Betty-37,17.5,fair,stubborn
Betty-38,9.4,excellent,positive
Betty-39,14.5,good,calm
Betty-40,17.6,fair,stubborn
Betty-41,100,special_health,special_behavior
Betty-42,9.4,excellent,positive
Betty-43,11.1,good,calm
Betty-44,2.0,excellent,playful
Betty-45,15.7,fair,stubborn
Betty-46,7.9,excellent,positive
Betty-47,1.9,excellent,playful
Betty-48,27.0,poor,negative
Betty-49,7.3,excellent,positive
Betty-50,11.1,good,calm
Betty-51,100,special_health,special_behavior
Betty-52,18.4,fair,stubborn
Betty-53,22.0,fair,stubborn
Betty-54,16.4,fair,stubborn
Betty-55,21.0,fair,stubborn
Betty-56,20.1,fair,stubborn
Betty-57,8.3,excellent,positive
Betty-58,7.7,excellent,positive
Betty-59,9.8,excellent,positive
Betty-60,23.9,fair,stubborn
Betty-61,100,special_health,special_behavior
Betty-62,1.8,excellent,playful
Betty-63,21.7,fair,stubborn
Betty-64,23.5,fair,stubborn
Betty-65,21.6,fair,stubborn
Betty-66,5.1,excellent,positive
Betty-67,1.1,excellent,playful
Betty-68,12.3,good,calm
Betty-69,3.3,excellent,playful
Betty-70,4.3,excellent,playful
Betty-71,100,special_health,special_behavior
Betty-72,28.1,poor,negative
Betty-73,16.8,fair,stubborn
Betty-74,25.7,poor,negative
Betty-75,9.7,excellent,positive
Betty-76,14.3,good,calm
Betty-77,17.5,fair,stubborn
Betty-78,16.7,fair,stubborn
Betty-79,21.4,fair,stubborn
Betty-80,12.7,good,calm
Betty-81,100,special_health,special_behavior
Betty-82,23.1,fair,stubborn
Betty-83,8.3,excellent,positive
Betty-84,16.5,fair,stubborn
Betty-85,2.4,excellent,playful
Betty-86,19.0,fair,stubborn
Betty-87,16.0,fair,stubborn
Betty-88,21.3,fair,stubborn
Betty-89,14.8,good,calm
Betty-90,15.9,fair,stubborn
Betty-91,100,special_health,special_behavior
Betty-92,13.5,good,calm
Betty-93,5.7,excellent,positive
Betty-94,25.9,poor,negative
Betty-95,3.7,excellent,playful
Betty-96,29.6,poor,negative
Betty-97,15.8,fair,stubborn
Betty-98,22.0,fair,stubborn
Betty-99,10.0,good,calm
Betty-100,14.9,good,calm
